Netid State Recv-Q Send-Q                                          Local Address:Port     Peer Address:Port  Process
u_str ESTAB 0      0                                                           * 17967               * 17968        
u_str ESTAB 0      0                                                           * 6133                * 24660        
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 19767               * 22647        
u_str ESTAB 0      0                                                           * 15343               * 24588        
u_str ESTAB 0      0                                /run/gdm3/dbus/dbus-yc66eIMd 11136               * 0            
u_str ESTAB 0      0                                 /run/dbus/system_bus_socket 10085               * 12042        
u_str ESTAB 680    0                                                           * 25693               * 17385        
u_str ESTAB 0      0                                                           * 832665              * 830850       
u_str ESTAB 0      0                        /run/user/1000/gvfsd/socket-qD9m62pt 815637              * 816645       
u_str ESTAB 0      0                                          /run/user/1000/bus 776484              * 783362       
u_str ESTAB 0      0                                                           * 57600               * 49113        
u_str ESTAB 0      0                                   /run/user/1000/at-spi/bus 19814               * 18793        
u_str ESTAB 0      0                                          /run/user/1000/bus 17378               * 16277        
u_str ESTAB 0      0                                    /run/user/1000/wayland-0 17366               * 25607        
u_str ESTAB 0      0                                                           * 18674               * 21523        
u_str ESTAB 0      2304                                       /run/user/1000/bus 799889              * 795532       
u_seq ESTAB 0      0                                                           * 18854               * 18855        
u_str ESTAB 0      0                                                           * 26673               * 22733        
u_str ESTAB 0      0                                 /run/user/1000/pulse/native 19802               * 17362        
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 5091                * 12186        
u_str ESTAB 0      0                                 /run/dbus/system_bus_socket 4780                * 12761        
u_str ESTAB 0      0                                                           * 25676               * 17737        
u_str ESTAB 0      0                                          /run/user/1000/bus 21707               * 24808        
u_dgr ESTAB 0      0                                                           * 15544               * 6668         
u_str ESTAB 0      0                                                           * 832814              * 832815       
u_str ESTAB 0      0                                          @/tmp/.X11-unix/X0 826194              * 830847       
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 777966              * 773667       
u_str ESTAB 0      0                                                           * 45890               * 56649        
u_str ESTAB 0      0                                          /run/user/1000/bus 16133               * 5994         
u_str ESTAB 0      0                                                           * 13283               * 17615        
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 719                 * 5600         
u_str ESTAB 0      0                                                           * 30987               * 30988        
u_seq ESTAB 0      0                                                           * 18872               * 18873        
u_str ESTAB 0      0                                                           * 16277               * 17378        
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 20637               * 20636        
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 24590               * 18700        
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 15746               * 12965        
u_str ESTAB 0      0                                                           * 832509              * 839683       
u_str ESTAB 0      0                                          /run/user/1000/bus 24634               * 25618        
u_str ESTAB 0      0                                                           * 775850              * 782348       
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 23566               * 5992         
u_str ESTAB 0      0                      /home/shoaib/.cache/ibus/dbus-yDAleGxb 830850              * 832665       
u_str ESTAB 0      0                                   /run/user/1000/at-spi/bus 56649               * 45890        
u_str ESTAB 0      0                                    /run/user/1000/wayland-0 42311               * 57601        
u_str ESTAB 0      0                                                           * 44021               * 44022        
u_seq ESTAB 0      0                                                           * 18847               * 18846        
u_str ESTAB 0      0                                                           * 16271               * 19809        
u_str ESTAB 0      0                                                           * 25601               * 20641        
u_str ESTAB 0      0                                                           * 25640               * 24658        
u_str ESTAB 0      0                                          /run/user/1000/bus 839683              * 832509       
u_dgr ESTAB 0      0                                                           * 6646                * 6645         
u_str ESTAB 0      0                                         /run/cups/cups.sock 847847              * 855274       
u_str ESTAB 0      0                                   /run/user/1000/pipewire-0 848135              * 840608       
u_str ESTAB 0      0                                   /run/user/1000/at-spi/bus 847508              * 852252       
u_str ESTAB 0      0                                                           * 812020              * 812019       
u_str ESTAB 0      0                                          /run/user/1000/bus 25781               * 16340        
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 17736               * 26665        
u_str ESTAB 0      0                                                           * 20666               * 24638        
u_str ESTAB 0      0                                   /run/user/1000/at-spi/bus 23639               * 6063         
u_str ESTAB 0      0                                          /run/user/1000/bus 18679               * 17292        
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 5095                * 13252        
u_str ESTAB 0      0                                 /run/dbus/system_bus_socket 13178               * 12128        
u_str ESTAB 0      0                                                           * 24811               * 19854        
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 19793               * 25621        
u_str ESTAB 0      0                                                           * 812019              * 812020       
u_str ESTAB 0      0                                   /run/user/1000/at-spi/bus 18764               * 16278        
u_str ESTAB 0      3840                                       /run/user/1000/bus 17382               * 26671        
u_str ESTAB 0      0                                                           * 17344               * 17345        
u_str ESTAB 0      0                                                           * 18727               * 18728        
u_str ESTAB 0      4608                                       /run/user/1000/bus 16156               * 6062         
u_str ESTAB 0      0                                                           * 12219               * 13308        
u_str ESTAB 0      0                                                           * 12749               * 15566        
u_str ESTAB 0      0                                                           * 17824               * 16301        
u_str ESTAB 0      0                                                           * 18794               * 21681        
u_str ESTAB 0      0                                          /run/user/1000/bus 18631               * 13262        
u_str ESTAB 0      0                                                           * 15266               * 5096         
u_str ESTAB 0      0                                 /run/dbus/system_bus_socket 14726               * 15577        
u_str ESTAB 0      0                                                           * 5431                * 7926         
u_str ESTAB 0      0                                                           * 24675               * 18769        
u_str ESTAB 0      0                                                           * 25641               * 24659        
u_str ESTAB 0      0                                          @/tmp/.X11-unix/X0 836275              * 852250       
u_str ESTAB 0      0                                                           * 849080              * 849079       
u_str ESTAB 0      0                                                           * 834474              * 838083       
u_str ESTAB 2      0                                                           * 795521              * 0            
u_str ESTAB 0      0              /run/user/1000/snap.firefox/wayland-proxy-3167 27719               * 18830        
u_str ESTAB 0      0                                 /run/dbus/system_bus_socket 23766               * 16280        
u_str ESTAB 0      0                                    /run/user/1000/wayland-0 17357               * 25605        
u_str ESTAB 0      0                                 /run/dbus/system_bus_socket 19679               * 6022         
u_str ESTAB 0      0                                                           * 11978               * 15683        
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 11857               * 5499         
u_str ESTAB 0      0                                                           * 816166              * 816167       
u_str ESTAB 0      0                                    /run/user/1000/wayland-0 782348              * 775850       
u_seq ESTAB 0      0                                                           * 31753               * 31754        
u_str ESTAB 0      0                                                           * 26651               * 17734        
u_str ESTAB 0      0                                 /run/dbus/system_bus_socket 20657               * 20656        
u_str ESTAB 0      0                                                           * 797109              * 799073       
u_dgr ESTAB 0      0                                                           * 5438                * 5437         
u_str ESTAB 0      0                                 /run/dbus/system_bus_socket 16213               * 25642        
u_str ESTAB 0      0                                          /run/user/1000/bus 844229              * 852253       
u_str ESTAB 0      0                                                           * 833929              * 833930       
u_str ESTAB 0      0                                 /run/user/1000/pulse/native 812973              * 816879       
u_str ESTAB 0      0                                 /run/dbus/system_bus_socket 21676               * 16285        
u_str ESTAB 0      0                                          /run/user/1000/bus 17730               * 26639        
u_str ESTAB 0      0                                                           * 20654               * 18718        
u_str ESTAB 0      0                                                           * 17292               * 18679        
u_str ESTAB 0      0                                                           * 13281               * 17614        
u_str ESTAB 0      0                                          /run/user/1000/bus 10215               * 5947         
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 13310               * 18659        
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 15683               * 11978        
u_str ESTAB 0      0                                                           * 24813               * 25736        
u_str ESTAB 0      0                                                           * 25690               * 18758        
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 27740               * 16332        
u_str ESTAB 0      0                                                           * 6092                * 21619        
u_str ESTAB 0      0                                                           * 23637               * 23638        
u_str ESTAB 0      0                                                           * 20567               * 16114        
u_str ESTAB 0      0                                                           * 11921               * 14781        
u_str ESTAB 0      0                                                           * 826197              * 826196       
u_str ESTAB 0      0                                                           * 816645              * 815637       
u_str ESTAB 0      0                                          @/tmp/.X11-unix/X1 801806              * 799076       
u_str ESTAB 0      0                                                           * 26672               * 18765        
u_str ESTAB 0      0                                          /run/user/1000/bus 6104                * 24639        
u_str ESTAB 0      0                                          /run/user/1000/bus 17364               * 25692        
u_dgr ESTAB 0      0                                                           * 11231               * 6668         
u_dgr ESTAB 0      0                                                           * 11920               * 6668         
u_str ESTAB 0      0                                          /run/user/1000/bus 849117              * 852251       
u_str ESTAB 0      0                                                           * 795575              * 801839       
u_str ESTAB 0      0                                                           * 786639              * 787680       
u_str ESTAB 0      0                                   /run/user/1000/at-spi/bus 18765               * 26672        
u_str ESTAB 0      0                                                           * 24639               * 6104         
u_str ESTAB 0      0                                                           * 840318              * 840319       
u_str ESTAB 0      0                                                           * 16227               * 17347        
u_str ESTAB 0      0                                          /run/user/1000/bus 20658               * 6078         
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 5094                * 17220        
u_str ESTAB 0      0                                          /run/user/1000/bus 17737               * 25676        
u_str ESTAB 0      0                                                           * 799080              * 802820       
u_seq ESTAB 0      0                                                           * 22766               * 22767        
u_str ESTAB 0      0                                                           * 20639               * 6076         
u_str ESTAB 0      0                                                           * 17337               * 20624        
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 16127               * 17658        
u_str ESTAB 0      0                                                           * 12220               * 13309        
u_str ESTAB 0      0                                                           * 830839              * 830838       
u_str ESTAB 0      0                                                           * 802182              * 801069       
u_str ESTAB 0      0                                                           * 773671              * 781603       
u_seq ESTAB 0      0                                                           * 18873               * 18872        
u_str ESTAB 0      0                                                           * 6094                * 21625        
u_str ESTAB 0      0                                                           * 6022                * 19679        
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 10631               * 11794        
u_str ESTAB 0      0                                      /run/snapd-snap.socket 25736               * 24813        
u_str ESTAB 0      0                                   /run/user/1000/pipewire-0 18758               * 25690        
